"","X","CRUISE_NAME","STATION","CAST","LATITUDE","LONGITUDE","PLANKTON_STRATUM","GEAR_VOLUME_FILTERED","SAMPLE_SPLIT_FACTOR","EVENT_DATE","TIME","DAY","MONTH","YEAR","HOUR","MINUTE","DEPTH","NET_MAX_DEPTH","VOLUME_100M3","ZOO_ALIQUOT","TAXA_004","TAXA_NAME","ITIS_TAXON","ITIS_TSN","CONC_100M3","ZOOPLANKTON_COUNT","ZOO_STAGE_000","ZOO_STAGE_024","ZOO_STAGE_023","ZOO_STAGE_022","ZOO_STAGE_021","ZOO_STAGE_020","ZOO_STAGE_030","ZOO_STAGE_029","ZOO_STAGE_028","ZOO_STAGE_013","ZOO_STAGE_999","ADULT_CONC","C5_CONC","C4_CONC","C3_CONC","C2_CONC","C1_CONC","CRYTOPIA_CONC","FURCILIA_CONC","CALYPTOPIS_CONC","NAUPLIUS_CONC","UNKNOWN_CONC","PRIMARY_FLAG","SECONDARY_FLAG","abundance_10m2","ADULT_10m2","C5_10m2","C4_10m2","C3_10m2","C2_10m2","C1_10m2","crytopia_10m2","furcilia_10m2","calyptosis_10m2","nauplius_10m2","unknown_10m2"
"1",1,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,101,"Calanus finmarchicus",NA,NA,220.88,4,2,1,0,0,1,0,0,0,0,0,0,110.4395581,55.21977903,0,0,55.21977903,0,0,0,0,0,0,1,"",397.582409049141,198.791204524571,99.3956022622853,0,0,99.3956022622853,0,0,0,0,0,0
"2",2,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,2500,"Polychaeta",NA,NA,55.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",99.3956022622853,0,0,0,0,0,0,0,0,0,0,0
"3",3,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,103,"Centropages typicus",NA,NA,27168.13,492,208,206,78,0,0,0,0,0,0,0,0,11485.71404,11375.27448,4307.142765,0,0,0,0,0,0,0,0,1,"",48902.6363130444,20674.2852705553,20475.4940660308,7752.85697645826,0,0,0,0,0,0,0,0
"4",4,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,105,"Metridia lucens",NA,NA,331.32,6,1,2,2,1,0,0,0,0,0,0,0,55.21977903,110.4395581,110.4395581,55.21977903,0,0,0,0,0,0,0,1,"",596.373613573712,99.3956022622853,198.791204524571,198.791204524571,99.3956022622853,0,0,0,0,0,0,0
"5",5,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,135,"Paracalanus parvus",NA,NA,55.22,1,1,0,0,0,0,0,0,0,0,0,0,55.21977903,0,0,0,0,0,0,0,0,0,0,1,"",99.3956022622853,99.3956022622853,0,0,0,0,0,0,0,0,0,0
"6",6,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,102,"Pseudocalanus minutus",NA,NA,1601.37,29,13,14,0,0,0,0,0,0,0,0,2,717.8571274,773.0769065,0,0,0,0,0,0,0,0,110.4395581,1,"",2882.47246560627,1292.14282940971,1391.53843167199,0,0,0,0,0,0,0,0,198.791204524571
"7",7,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,104,"Temora longicornis",NA,NA,220.88,4,2,0,2,0,0,0,0,0,0,0,0,110.4395581,0,110.4395581,0,0,0,0,0,0,0,0,1,"",397.582409049141,198.791204524571,0,198.791204524571,0,0,0,0,0,0,0,0
"8",8,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,4027,"Acartia",NA,NA,2595.33,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",4671.59330632741,0,0,0,0,0,0,0,0,0,0,0
"9",9,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,131,"Harpacticoida",NA,NA,55.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",99.3956022622853,0,0,0,0,0,0,0,0,0,0,0
"10",10,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,138,"Oithona",NA,NA,165.66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",298.186806786856,0,0,0,0,0,0,0,0,0,0,0
