TAXA_NAME,stage,stage_code,CRUISE_NAME,STATION,CAST,EVENT_DATE,DAY,MONTH,YEAR,DEPTH,NET_MAX_DEPTH,abundance_staged_10m2,MEAN_LENGTH_UM,MEAN_LENGTH_TYPE,eqn,b,int,LengthType_eqn,Weight_unit_eqn,Weight_type_eqn,weight,PUBLISHED_MEAN_WEIGHT_UM,PUBLISHED_weight_type,PUBLISHED_weight_unit,FINAL_DryWeight_ug,Per_C_DW,convertedCARBON,ESD,biomass_ug,biomass_mg,esd_bins
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,9,17,22-Jul-18,22,7,2018,147,115,2340.344828,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,603784.7181,603.7847181,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN706,5,6,08-Aug-23,8,8,2023,76,71.491,2327.26089,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,600409.1975,600.4091975,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN608,10,21,03-Feb-18,3,2,2018,460,210,2206.563665,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,569270.564,569.270564,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,2,2,17-Jul-21,17,7,2021,46,40.565,392.6802859,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,101307.4453,101.3074453,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,4,5,17-Jul-21,17,7,2021,65,60.673,1588.596635,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,409841.4728,409.8414728,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,HRS2303,10,7,03-May-23,4,5,2023,470,146,1458.307322,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,376228.18,376.22818,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,8,14,22-Jul-18,22,7,2018,132,121,7246.680108,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,1869568.387,1869.568387,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN695,6,2,12-Jan-23,12,1,2023,92,88,132.5650586,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,34200.41164,34.20041164,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,9,14,19-Jul-21,19,7,2021,147,140.488,318.3512303,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,82131.31908,82.13131908,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,HRS2303,8,5,03-May-23,4,5,2023,138,113,823.2448277,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,212388.6362,212.3886362,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,3,5,21-Jul-18,21,7,2018,50,49,37599.38254,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,9700251.139,9700.251139,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN706,6,19,11-Aug-23,11,8,2023,93,88.636,4428.664471,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,1142549.549,1142.549549,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,AT46,6,6,17-Feb-22,17,2,2022,94,83,540.3817616,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,139412.8958,139.4128958,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN608,4,8,01-Feb-18,1,2,2018,67,64,521.7618379,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,134609.1484,134.6091484,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,5,9,21-Jul-18,21,7,2018,76,62,9499.356615,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,2450735.587,2450.735587,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN706,4,5,08-Aug-23,8,8,2023,66,26.69,1428.108018,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,368437.0724,368.4370724,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,3,21,21-Jul-21,21,7,2021,54,51,6.158009641,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,1588.702686,1.588702686,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN608,1,1,31-Jan-18,31,1,2018,22,18,198.7912045,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,51286.07115,51.28607115,"(512,1.02e+03]"
