TAXA_NAME,stage,stage_code,CRUISE_NAME,STATION,CAST,EVENT_DATE,DAY,MONTH,YEAR,DEPTH,NET_MAX_DEPTH,abundance_staged_10m2,MEAN_LENGTH_UM,MEAN_LENGTH_TYPE,eqn,b,int,LengthType_eqn,Weight_unit_eqn,Weight_type_eqn,weight,PUBLISHED_MEAN_WEIGHT_UM,PUBLISHED_weight_type,PUBLISHED_weight_unit,FINAL_DryWeight_ug,Per_C_DW,convertedCARBON,ESD,biomass_ug,biomass_mg,esd_bins
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,9,17,22-Jul-18,22,7,2018,147,115,2340.344828,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,289816.6647,289.8166647,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN706,5,6,08-Aug-23,8,8,2023,76,71.491,2327.26089,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,288196.4148,288.1964148,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN608,10,21,03-Feb-18,3,2,2018,460,210,2206.563665,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,273249.8707,273.2498707,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,2,2,17-Jul-21,17,7,2021,46,40.565,392.6802859,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,48627.57376,48.62757376,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,4,5,17-Jul-21,17,7,2021,65,60.673,1588.596635,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,196723.9069,196.7239069,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,HRS2303,10,7,03-May-23,4,5,2023,470,146,1458.307322,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,180589.5264,180.5895264,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN617,8,14,22-Jul-18,22,7,2018,132,121,7246.680108,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,897392.8259,897.3928259,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN695,6,2,12-Jan-23,12,1,2023,92,88,132.5650586,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,16416.19759,16.41619759,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,EN668,9,14,19-Jul-21,19,7,2021,147,140.488,318.3512303,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,39423.03316,39.42303316,"(512,1.02e+03]"
Calanus finmarchicus,Adult,ZOO_STAGE_000,HRS2303,8,5,03-May-23,4,5,2023,138,113,823.2448277,2562,PL,log DW[ug] = (3.264 * log(PL[um]) - 8.714,3.264,-8.714,PL,ug,DW,257.9896393,286.5,DW,ug,257.9896393,48,123.8350269,1009.641496,101946.5454,101.9465454,"(512,1.02e+03]"
