"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_10m2","zooplankton_count","totcnt","adult_count","c5_count","c4_count","c3_count","c2_count","c1_count","cryptopia_count","furcilia_count","calyptopis_count","nauplius_count","unknown_count","adult_10m2","c5_10m2","c4_10m2","c3_10m2","c2_10m2","c1_10m2","cryptopia_10m2","furcilia_10m2","calyptopis_10m2","nauplius_10m2","unknown_10m2","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,101,"Calanus finmarchicus",970.926829410289,4,649,2,1,0,0,1,0,0,0,0,0,0,485.463414705145,242.731707352572,0,0,242.731707352572,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,109,"Centropages hamatus",9709.26829410289,40,649,21,15,4,0,0,0,0,0,0,0,0,5097.36585440402,3640.97561028858,970.926829410289,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,103,"Centropages typicus",119424.000017466,492,649,208,206,78,0,0,0,0,0,0,0,0,50488.1951293351,50002.7317146299,18933.0731735006,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,157,"Clausocalanus arcuicornis",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,105,"Metridia lucens",1456.39024411543,6,649,1,2,2,1,0,0,0,0,0,0,0,242.731707352572,485.463414705145,485.463414705145,242.731707352572,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,143,"Nannocalanus minor",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,135,"Paracalanus parvus",242.731707352572,1,649,1,0,0,0,0,0,0,0,0,0,0,242.731707352572,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,102,"Pseudocalanus minutus",7039.2195132246,29,649,13,14,0,0,0,0,0,0,0,0,2,3155.51219558344,3398.24390293601,0,0,0,0,0,0,0,0,485.463414705145,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,104,"Temora longicornis",970.926829410289,4,649,2,0,2,0,0,0,0,0,0,0,0,485.463414705145,0,485.463414705145,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2006,"Euphausia krohnii",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
