cruise,station,cast,sample_name,DateUTC,Time_start_UTC,Time_end_UTC,lat,lon,depth_bottom,depth_target,avg_angle,depth_TDR,FlowMeterSerial_335,FlowStart_335,FlowEnd_335,TotFlow_335,Vol_Filtered_m3_335,NOAA_335,DNA_335,FlowMeterSerial_150,FlowStart_150,FlowEnd_150,TotFlow_150,Vol_Filtered_m3_150,MorphID_150,DNA_150,SizeFract_150,TaxaPick_150,EtOHchanged,Comments
AR28B,L1,1,AR28B_L1_R1,180403,NA,NA,41.185,-70.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,17 m wire out; OOI Pioneer cruise
AR28B,L2,2,AR28B_L2_R2,180403,22:25:00,NA,41.031,-70.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,40 m wire out; cod end broke - no sample; OOI Pioneer cruise
AR28B,L3,3,AR28B_L3_R3,180404,00:25:00,NA,40.864,-70.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,50 m wire out; OOI Pioneer cruise
AR28B,L4,4,AR28B_L4_R4,180404,02:19:00,NA,40.697,-70.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,62 m wire out; OOI Pioneer cruise
AR28B,L5,5,AR28B_L5_R5,180404,04:30:00,NA,40.529,-70.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,72 m wire out; OOI Pioneer cruise
AR28B,L6,28,AR28B_L6_R28,180411,18:40:00,NA,40.359,-70.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,87 m wire out; OOI Pioneer cruise
AR28B,L7,27,AR28B_L7_R27,180411,12:56:00,NA,40.227,-70.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,120 m wire out; OOI Pioneer cruise
AR28B,L8,37,AR28B_L8_R37,180412,12:40:00,NA,40.137,-70.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,129 m wire out; OOI Pioneer cruise
AR28B,L9,17,AR28B_L9_R17,180410,18:55:00,NA,40.096,-70.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,145 m wire out; OOI Pioneer cruise
AR28B,L10,10,AR28B_L10_R10,180409,15:45:00,NA,39.94,-70.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,438 m wire out; OOI Pioneer cruise
AR28B,L11,12,AR28B_L11_R12,180410,02:55:00,NA,39.773,-70.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,200 m wire out; lots of salps; OOI Pioneer cruise
AR31A,L4,3,AR31A_L4_R3,181021,12:26:00,12:45:00,40.69,-70.88,65,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,181022,EtOH green; OOI Pioneer cruise
AR31A,L5,2,AR31A_L5_R2,181021,10:32:00,10:50:00,40.51,-70.88,77,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,181022,EtOH green; OOI Pioneer cruise
AR31A,L6,1,AR31A_L6_R1,181021,08:33:00,09:00:00,40.36,-70.88,93,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,181022,OOI Pioneer cruise
AR32,L1,1,AR32_L1_B1,181112,17:01:00,17:07:00,41.19498,-70.883,23,18,25,NA,28519,834828,844977,10149,77.11375552,Y,N,28517,927723,936353,8630,65.57214604,Y,N,Y,N,NA,high phytoplankton content. ethanol split for morph ID stored in 2 jars (jar 1 of 2 and jar 2 of 2)
AR32,L3,2,AR32_L3_B2,181112,19:47:00,20:00:00,40.86119,-70.8817,54,48,25,NA,28519,844703,858722,14019,106.518646,Y,N,28517,936353,943442,7089,53.86337697,Y,Y,Y,N,NA,dense phytoplankton. dumped 1/2 f 150 um. th sample is split so 1/4 of sampl  for 2 jars. 1/4 of size fraction.
AR32,L5,3,AR32_L5_B3,181112,22:50:00,23:05:00,40.50839,-70.8833,76,73,30,NA,28519,858863,872120,13257,100.7288459,Y,N,28517,943628,955840,12212,92.78876563,N,Y,Y,N,NA,part of 150 um spilled about 5% of sample. 2 EtOH jars.
