stage_code,stage,taxa_name,esd_eqn,source,,
ZOO_STAGE_000,Adult,Calanus finmarchicus,,,,
ZOO_STAGE_000,Adult,Centropages hamatus,,,,
ZOO_STAGE_000,Adult,Centropages typicus,,,,
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,,,,
ZOO_STAGE_000,Adult,Metridia lucens,,,,
ZOO_STAGE_000,Adult,Nannocalanus minor,,,,
ZOO_STAGE_000,Adult,Paracalanus parvus,,,,
ZOO_STAGE_000,Adult,Pseudocalanus minutus,,,,
ZOO_STAGE_000,Adult,Temora longicornis,,,,
ZOO_STAGE_000,Adult,Thysanoessa gregaria,,,,
ZOO_STAGE_000,Adult,Thysanoessa raschii,,,,
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,,,,
ZOO_STAGE_000,Adult,Euphausia krohnii,,,,
ZOO_STAGE_024,CV,Calanus finmarchicus,,,,
ZOO_STAGE_024,CV,Centropages hamatus,,,,
ZOO_STAGE_024,CV,Centropages typicus,,,,
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,,,,
ZOO_STAGE_024,CV,Metridia lucens,,,,
ZOO_STAGE_024,CV,Nannocalanus minor,,,,
ZOO_STAGE_024,CV,Paracalanus parvus,,,,
ZOO_STAGE_024,CV,Pseudocalanus minutus,,,,
ZOO_STAGE_024,CV,Temora longicornis,,,,
ZOO_STAGE_023,CIV,Calanus finmarchicus,,,,
ZOO_STAGE_023,CIV,Centropages hamatus,,,,
ZOO_STAGE_023,CIV,Centropages typicus,,,,
ZOO_STAGE_023,CIV,Clausocalanus arcuicornis,,,,
ZOO_STAGE_023,CIV,Metridia lucens,,,,
ZOO_STAGE_023,CIV,Temora longicornis,,,,
ZOO_STAGE_022,CIII,Calanus finmarchicus,,,,
ZOO_STAGE_022,CIII,Clausocalanus arcuicornis,,,,
ZOO_STAGE_022,CIII,Metridia lucens,,,,
ZOO_STAGE_022,CIII,Temora longicornis,,,,
ZOO_STAGE_021,CII ,Calanus finmarchicus,,,,
ZOO_STAGE_021,CII ,Clausocalanus arcuicornis,,,,
ZOO_STAGE_021,CII ,Metridia lucens,,,,
