"","cruise","station","cast","max_depth"
"1","AR77","L10","B6",212
"2","AR77","L11","B8",201
"3","AR77","L2","B2",38
"4","AR77","L3","B18",51
"5","AR77","L4","B19",64
"6","AR77","L5","B5",65
"7","AR77","L6","B10",84
"8","AR77","L7","B17",121
"9","AR77","L8","B16",137
"10","AR77","L9","B13",219
"11","AR77","MVCO","B35",6
"12","AT46","L1","B1",23
"13","AT46","L11","B7",179
"14","AT46","L2","B21",47
"15","AT46","L3","B22",51
"16","AT46","L4","B2",69
"17","AT46","L5","B3",66
"18","AT46","L6","B4",87
"19","AT46","L7","B14",84
"20","AT46","L9","B12",87
"21","AT46","MVCO","B23",18
"22","EN617","L1","B1",2
"23","EN617","L10","B18",167
"24","EN617","L11","B21",168
"25","EN617","L11","B25a",17
"26","EN617","L2","B2",35
"27","EN617","L3","B5",49
"28","EN617","L4","B8",62
"29","EN617","L5","B9",62
"30","EN617","L6","B12",79
"31","EN617","L7","B13",106
"32","EN617","L8","B14",121
"33","EN617","L9","B17",115
"34","EN617","MVCO","B35",14
"35","EN649","L1","B1",19
"36","EN649","L10","B12",221
"37","EN649","L11","B16",243
"38","EN649","L2","B5",44
"39","EN649","L3","B6",45
"40","EN649","L4","B21",58
"41","EN649","L5","B20",75
"42","EN649","L6","B19",96
"43","EN649","L7","B7",108
"44","EN649","L8","B8",110
"45","EN649","L9","B11",106
"46","EN649","MVCO","B2",17
"47","EN655","L1","B1",24
"48","EN655","L10","B12",201
"49","EN655","L2","B2",49
"50","EN655","L3","B3",52
"51","EN655","L4","B7",57
"52","EN655","L5","B10",78
"53","EN655","L6","B16",60
"54","EN655","L7","B11",128
"55","EN655","L9","B15",146
"56","EN657","L10","B9",197
"57","EN657","L11","B12",180
"58","EN657","L2","B5",31
"59","EN657","L3","B2",43
"60","EN657","L4","B6",55
"61","EN657","L5","B7",66
"62","EN657","L6","B17",95
"63","EN657","L7","B19",112
"64","EN657","L9","B8",123
"65","EN657","MVCO","B20",12
"66","EN687","L1","B1",40
"67","EN687","L10","B7",159
"68","EN687","L11","B10",269
"69","EN687","L3","B22",39
"70","EN687","L4","B5",49
"71","EN687","L5","B6",61
"72","EN687","L6","B18",77
"73","EN687","L7","B21",123
"74","EN687","L8","B16",133
"75","EN687","L9","B13",132
"76","EN687","MVCO","B26",11
"77","EN706","L1","B1",29
"78","EN706","L10","B10",218
"79","EN706","L11","B9",214
"80","EN706","L2","B2",50
"81","EN706","L3","B20",62
"82","EN706","L4","B5",75
"83","EN706","L5","B6",94
"84","EN706","L6","B19",100
"85","EN706","L8","B15",145
"86","EN706","L9","B13",217
"87","EN706","MVCO","B24",29
"88","EN712","L1","B1",15
"89","EN712","L10","B7",184
"90","EN712","L11","B10",197
"91","EN712","L2","B17",38
"92","EN712","L4","B15",52
"93","EN712","L5","B2",71
"94","EN712","L6","B5",92
"95","EN712","L7","B6",100
"96","EN712","L9","B11",207
"97","EN712","MVCO","B20",8
"98","HRS2303","L1","B2",18
"99","HRS2303","L10","B7",146
"100","HRS2303","L11","B8",115
"101","HRS2303","L2","B12",38
"102","HRS2303","L3","B11",41
"103","HRS2303","L4","B10",53
"104","HRS2303","L5","B3",73
"105","HRS2303","L6","B9",59
"106","HRS2303","L7","B4",75
"107","HRS2303","L8","B5",113
"108","HRS2303","L9","B6",182
"109","HRS2303","MVCO","B1",12
