stage_code,stage,TAXA_NAME,MEAN_LENGTH_UM,MEAN_LENGTH_TYPE,source
ZOO_STAGE_000,Adult,Calanus finmarchicus,2562,PL,Gluchowska et al 2017
ZOO_STAGE_000,Adult,Centropages hamatus,1130,PL,Marine Planktonic Copepods website (Razouls) re Martynova et al 2009 White Sea for females; Marshall 1949 in Conway DVP 2012
ZOO_STAGE_000,Adult,Centropages typicus,1210,PL,Cam Thompson + Jeff Runge table; Hay et al. 1991; Saiz et al 1999; Bonnet et al 2007; Razouls and Razouls 1976
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,1320,PL,Cedras and Gibbons 2021; Marine Planktonic Copepods website (Razouls)
ZOO_STAGE_000,Adult,Metridia lucens,1443,PL,ICES WGZE; Conway DVP 2012 [Northern North Sea Apr 1974]; Cam Thompson + Jeff Runge; Hay et al. 1991
ZOO_STAGE_000,Adult,Nannocalanus minor,1500,PL,Andronov et al 2006
ZOO_STAGE_000,Adult,Paracalanus parvus,720,PL,Harvey Walsh/EcoMon; Marine Planktonic Copepods website (Razouls); range PL Marshall 1949 in Conway DVP 2012; Hay et al. 1991
ZOO_STAGE_000,Adult,Pseudocalanus minutus,1000,CL,Raymont 1959 [Woods Hole]
ZOO_STAGE_000,Adult,Temora longicornis,960,PL,Cam Thompson + Jeff Runge table; Marshall 1949 Digby 1950 Conway DVP 2012
ZOO_STAGE_000,Adult,Thysanoessa gregaria,12500,TL,average from Euphausiids World Ocean; 8000-18000um Kulagin et al 2024
ZOO_STAGE_000,Adult,Thysanoessa raschii,18400,TL,Euphausiids World Ocean; Hay et al. 1991
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,13300,TL,Euphausiids World Ocean; Hay et al. 1991
ZOO_STAGE_000,Adult,Euphausia krohnii,15500,TL,Euphausiids World Ocean
ZOO_STAGE_024,CV,Calanus finmarchicus,2330,PL,Campbell et al 2001; Davis 1984; Conway DVP 2012; Cornils et al 2022; Gluchowska et al 2017
ZOO_STAGE_024,CV,Centropages hamatus,890,PL,ICES WGZE; Conway DVP 2012
ZOO_STAGE_024,CV,Centropages typicus,990,PL,ICES WGZE; Conway DVP 2012 ref Lawson and Grice 1970;  Cam Thompson + Jeff Runge table; Bonnet et al. 2001
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,800,CL,Marine Planktonic Copepods website (Razouls) re Shmeleva 1965 [Mediterranean Sea]
ZOO_STAGE_024,CV,Metridia lucens,1220,PL,ICES WGZE; Conway DVP 2012; Cam Thompson + Jeff Runge table
ZOO_STAGE_024,CV,Nannocalanus minor,1200,PL,ICES WGZE; Marine Planktonic Copepods website (Razouls); Conway DVP 2012
ZOO_STAGE_024,CV,Paracalanus parvus,650,PL,Deb [NES]; ICES_WG; Davis 1984
ZOO_STAGE_024,CV,Pseudocalanus minutus,880,PL,Davis 1984; Cam Thompson + Jeff Runge table
ZOO_STAGE_024,CV,Temora longicornis,750,PL,ICES WGZE; Cam Thompson + Jeff Runge table; Conway DVP 2012
ZOO_STAGE_023,CIV,Calanus finmarchicus,1745,PL,Campbell et al 2001; Davis 1984; Conway DVP 2012 [western Scotland October 1933]; Cornils et al 2022; Gluchowska et al 2017
ZOO_STAGE_023,CIV,Centropages hamatus,750,PL,ICES WGZE; Conway DVP 2012; Cam Thompson + Jeff Runge table; Marine Planktonic Copepods website (Razouls) re Martynova et al 2009 [White Sea]
ZOO_STAGE_023,CIV,Centropages typicus,870,PL,Cam Thompson + Jeff Runge table; Carlotti et al 2007; Conway DVP 2012 ref Lawson and Grice 1970
ZOO_STAGE_023,CIV,Clausocalanus arcuicornis,634,CL,Marine Planktonic Copepods website (Razouls) re Shmeleva 1965 [Mediterranean Sea]
ZOO_STAGE_023,CIV,Metridia lucens,900,PL,ICES_WG; Conway DVP 2012; Cam Thompson + Jeff Runge table
ZOO_STAGE_023,CIV,Temora longicornis,590,PL,Cam Thompson + Jeff Runge table; ICES WGZE; Conway DVP 2012
ZOO_STAGE_022,CIII,Calanus finmarchicus,1320,PL,Campbell et al 2001; Davis 1984; Conway DVP 2012; Cornils et al 2022; Gluchowska et al 2017; Cornils et al 2022; Gluchowska et al 2017
ZOO_STAGE_022,CIII,Clausocalanus arcuicornis,511,CL,Marine Planktonic Copepods website (Razouls) re Shmeleva 1965 [Mediterranean Sea]
ZOO_STAGE_022,CIII,Metridia lucens,750,PL,Cam Thompson + Jeff Runge table; ICES WGZE; Conway DVP 2012
ZOO_STAGE_022,CIII,Temora longicornis,490,PL,Cam Thompson + Jeff Runge table; ICES WGZE; Conway DVP 2012
ZOO_STAGE_021,CII ,Calanus finmarchicus,930,PL,Campbell et al 2001; Davis 1984; Conway DVP 2012; Cornils et al 2022; Gluchowska et al 2017
ZOO_STAGE_021,CII ,Clausocalanus arcuicornis,373,CL,Marine Planktonic Copepods website (Razouls) re Shmeleva 1965 [Mediterranean Sea]
ZOO_STAGE_021,CII ,Metridia lucens,600,PL,ICES WGZE; Conway DVP 2012; Cam Thompson + Jeff Runge table
ZOO_STAGE_021,CII ,Temora longicornis,400,PL,ICES_WG; Conway DVP 2012; Cam Thompson + Jeff Runge table
ZOO_STAGE_020,CI,Calanus finmarchicus,680,PL,Campbell et al 2001; Davis 1984; Conway DVP 2012; Cornils et al 2022; Gluchowska et al 2017
ZOO_STAGE_020,CI,Clausocalanus arcuicornis,NA,NA,NA
ZOO_STAGE_020,CI,Metridia lucens,410,PL,ICES_WGZE; Conway DVP 2012; Cam Thompson + Jeff Runge table
ZOO_STAGE_029,Furcilia,Thysanoessa gregaria,3275,TL,Euphausiids World Ocean
ZOO_STAGE_029,Furcilia,Thysanoessa raschii,6050,TL,Euphausiids World Ocean
ZOO_STAGE_029,Furcilia,Thysanoessa longicaudata,4500,TL,Euphausiids World Ocean
ZOO_STAGE_029,Furcilia,Euphausia krohnii,4250,TL,Euphausiids World Ocean
ZOO_STAGE_028,Calyptopis,Thysanoessa gregaria,1700,TL,Euphausiids World Ocean
ZOO_STAGE_028,Calyptopis,Thysanoessa raschii,1730,TL,Euphausiids World Ocean
ZOO_STAGE_028,Calyptopis,Thysanoessa longicaudata,1750,TL,Euphausiids World Ocean
ZOO_STAGE_028,Calyptopis,Euphausia krohnii,1840,TL,Euphausiids World Ocean
ZOO_STAGE_013,Nauplius,Thysanoessa gregaria,NA,NA,NA
ZOO_STAGE_013,Nauplius,Thysanoessa raschii,470,TL,Euphausiids World Ocean
ZOO_STAGE_013,Nauplius,Thysanoessa longicaudata,NA,NA,NA
ZOO_STAGE_013,Nauplius,Euphausia krohnii,500,TL,Euphausiids World Ocean
ZOO_STAGE_030,Cryptopia,NA ,NA,NA,NA
Not_Staged,Not_Staged,Copepoda,2830,PL,Lavaniegos and Ohman 2007 [N. Pacific]
Not_Staged,Not_Staged,Amphipoda,2590,SL,Hay et al. 1991 from Parathemisto sp.; this seems to be on the lower size range
Not_Staged,Not_Staged,Euphausiacea,NA,NA,NA
Not_Staged,Not_Staged,Appendicularia,603,TL,mean from a wide table provided by them; not sure how good; Gorsky et al 1987
Not_Staged,Not_Staged,Chaetognatha,7600,SL,Hay et al. 1991
Not_Staged,Not_Staged,Oithona spp.,520,SL,Hay et al. 1991
Not_Staged,Not_Staged,Ostracoda,,,
Not_Staged,Not_Staged,Hyperiidea,,,
Not_Staged,Not_Staged,Thaliacea,,,
Not_Staged,Not_Staged,Thecosomata,,,
Not_Staged,Not_Staged,Cnidaria,,,
Not_Staged,Not_Staged,Acartia,,,
Not_Staged,Not_Staged,Penilia avirostris,,,
Not_Staged,Not_Staged,Echinodermata,,,
Not_Staged,Not_Staged,Pleuromamma,,,
Not_Staged,Not_Staged,Forams,,,
Not_Staged,Not_Staged,Oncaea,635,PL,200-1066 um PL Bottger-Schnack and Schnack 2023; 0.36-1.07mm Morales-Ramirez and Jakob 2008 from Costa Rica spp
