stage_code,stage,taxa_name,published_mean_weight_um,published_weight_type,published_weight_unit,source,
ZOO_STAGE_000,Adult,Calanus finmarchicus,286.5,DW,ug,Cam Thompson + Jeff Runge table; Pitois and Fox 2006; Cornils et al 2022,
ZOO_STAGE_000,Adult,Centropages hamatus,9.58,DW,ug,Pitois and Fox 2006,
ZOO_STAGE_000,Adult,Centropages hamatus,14.7,DW,ug,Pitois and Fox 2006 (NE Atlantic),
ZOO_STAGE_000,Adult,Centropages typicus,31.7,DW,ug,Pitois and Fox 2006 (NE Atlantic),
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,68,WW,ug,,
ZOO_STAGE_000,Adult,Metridia lucens,40.6,DW,ug,Cam Thompson + Jeff Runge table; 62 in Pitois and Fox 2006,
ZOO_STAGE_000,Adult,Nannocalanus minor,96,DW,ug,,
ZOO_STAGE_000,Adult,Paracalanus parvus,6.98,DW,ug,Gillooly 2000 ref Huntely and Llopez 1992,
ZOO_STAGE_000,Adult,Pseudocalanus minutus,12.1,DW,ug,Davis 1984; 23.25 ug DW Gillooly 2000,
ZOO_STAGE_000,Adult,Temora longicornis,27.6,DW,ug,Cam Thompson + Jeff Runge table,
ZOO_STAGE_000,Adult,Thysanoessa gregaria,NA,NA,NA,,
ZOO_STAGE_000,Adult,Thysanoessa raschii,687.369,DW,ug,Hay et al. 1991,
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,447.38,DW,ug,Hay et al. 1991,
ZOO_STAGE_000,Adult,Euphausia krohnii,5000,DW,ug,Fowler et al 1971 report 2-7 mg but this seems high?,
ZOO_STAGE_024,CV,Calanus finmarchicus,236.2,DW,ug,Cam Thompson + Jeff Runge table,
ZOO_STAGE_024,CV,Centropages hamatus,16,WW,ug,Hernroth 1985,
ZOO_STAGE_024,CV,Centropages typicus,17.4,DW,ug,Cam Thompson + Jeff Runge table,
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,55,WW,ug,,
ZOO_STAGE_024,CV,Metridia lucens,16.1,DW,ug,,
ZOO_STAGE_024,CV,Nannocalanus minor,70,DW,ug ,,
ZOO_STAGE_024,CV,Paracalanus parvus,5.9,DW,ug,,
ZOO_STAGE_024,CV,Pseudocalanus minutus,4.31,DW,ug,,
ZOO_STAGE_024,CV,Temora longicornis,13,DW,ug,Pitois and Fox 2006 (NE Atlantic),
ZOO_STAGE_023,CIV,Calanus finmarchicus,87.3,DW,ug,,
ZOO_STAGE_023,CIV,Centropages hamatus,6,DW,ug,,
ZOO_STAGE_023,CIV,Centropages typicus,8.5,DW,ug,,
ZOO_STAGE_023,CIV,Clausocalanus arcuicornis,25,WW,ug,,
ZOO_STAGE_023,CIV,Metridia lucens,10.8,DW,ug, 18.3 metridia spp in Jeff Runge; 12.4 in Pitois and Fox 2006 (NE Atlantic),
ZOO_STAGE_023,CIV,Temora longicornis,3.33,DW,ug,,
ZOO_STAGE_022,CIII,Calanus finmarchicus,24.4,DW,ug,,
ZOO_STAGE_022,CIII,Clausocalanus arcuicornis,7,WW,ug,,
ZOO_STAGE_022,CIII,Metridia lucens,5.4,DW,ug,,
ZOO_STAGE_022,CIII,Temora longicornis,3.3,DW,ug,,
ZOO_STAGE_021,CII ,Calanus finmarchicus,8.4,DW,ug,4 ug in Skjoldal and Myrseth Aarflot 2023,
ZOO_STAGE_021,CII ,Clausocalanus arcuicornis,4,WW,ug,,
ZOO_STAGE_021,CII ,Metridia lucens,3,DW,ug,,
ZOO_STAGE_021,CII ,Temora longicornis,2.17,DW,ug,,
ZOO_STAGE_020,CI,Calanus finmarchicus,3.1,DW,ug,1.5 ug in Skjoldal and Myrseth Aarflot 2023,
ZOO_STAGE_020,CI,Clausocalanus arcuicornis,10.6,DW,ug,Pitois and Fox 2006 not staged; clausocalanus spp,
ZOO_STAGE_020,CI,Metridia lucens,0.8,DW,ug,,
ZOO_STAGE_029,Furcilia,Thysanoessa gregaria,1.4,DW,ug,,
ZOO_STAGE_029,Furcilia,Thysanoessa raschii,NA,NA,NA,,
ZOO_STAGE_029,Furcilia,Thysanoessa longicaudata,NA,NA,NA,,
ZOO_STAGE_029,Furcilia,Euphausia krohnii,NA,NA,NA,,
ZOO_STAGE_028,Calyptopis,Thysanoessa gregaria,NA,NA,NA,,
ZOO_STAGE_028,Calyptopis,Thysanoessa raschii,7.318,DW,ug,Smith 1991,
ZOO_STAGE_028,Calyptopis,Thysanoessa longicaudata,NA,NA,NA,,
ZOO_STAGE_028,Calyptopis,Euphausia krohnii,NA,NA,NA,,
