"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_10m2","zooplankton_count","totcnt","adult_count","c5_count","c4_count","c3_count","c2_count","c1_count","cryptopia_count","furcilia_count","calyptopis_count","nauplius_count","unknown_count","adult_10m2","c5_10m2","c4_10m2","c3_10m2","c2_10m2","c1_10m2","cryptopia_10m2","furcilia_10m2","calyptopis_10m2","nauplius_10m2","unknown_10m2","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,101,"Calanus finmarchicus",407.068600548715,4,649,2,1,0,0,1,0,0,0,0,0,0,203.534300274358,101.767150137179,0,0,101.767150137179,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,109,"Centropages hamatus",4070.68600548715,40,649,21,15,4,0,0,0,0,0,0,0,0,2137.11015288075,1526.50725205768,407.068600548715,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,103,"Centropages typicus",50069.437867492,492,649,208,206,78,0,0,0,0,0,0,0,0,21167.5672285332,20964.0329282588,7937.83771069994,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,157,"Clausocalanus arcuicornis",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,105,"Metridia lucens",610.602900823073,6,649,1,2,2,1,0,0,0,0,0,0,0,101.767150137179,203.534300274358,203.534300274358,101.767150137179,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,143,"Nannocalanus minor",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,135,"Paracalanus parvus",101.767150137179,1,649,1,0,0,0,0,0,0,0,0,0,0,101.767150137179,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,102,"Pseudocalanus minutus",2951.24735397818,29,649,13,14,0,0,0,0,0,0,0,0,2,1322.97295178332,1424.7401019205,0,0,0,0,0,0,0,0,203.534300274358,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,104,"Temora longicornis",407.068600548715,4,649,2,0,2,0,0,0,0,0,0,0,0,203.534300274358,0,203.534300274358,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2006,"Euphausia krohnii",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2002,"Meganyctiphanes norvegica",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2019,"Nematoscelis megalops",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2012,"Thysanoessa gregaria",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2004,"Thysanoessa longicaudata",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,2.38516758134013,2003,"Thysanoessa raschii",0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,101,"Calanus finmarchicus",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,109,"Centropages hamatus",52447.5197845871,72,547,59,12,1,0,0,0,0,0,0,0,0,42977.82871237,8741.25329743119,728.437774785932,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,103,"Centropages typicus",138403.177209327,190,547,121,49,20,0,0,0,0,0,0,0,0,88140.9707490978,35693.4509645107,14568.7554957186,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,157,"Clausocalanus arcuicornis",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,105,"Metridia lucens",728.437774785932,1,547,1,0,0,0,0,0,0,0,0,0,0,728.437774785932,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,143,"Nannocalanus minor",4370.62664871559,6,547,5,1,0,0,0,0,0,0,0,0,0,3642.18887392966,728.437774785932,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,135,"Paracalanus parvus",728.437774785932,1,547,1,0,0,0,0,0,0,0,0,0,0,728.437774785932,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,102,"Pseudocalanus minutus",90326.2840734556,124,547,96,27,0,0,0,0,0,0,0,0,1,69930.0263794495,19667.8199192202,0,0,0,0,0,0,0,0,728.437774785932,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,104,"Temora longicornis",8012.81552264525,11,547,9,1,1,0,0,0,0,0,0,0,0,6555.93997307339,728.437774785932,728.437774785932,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2006,"Euphausia krohnii",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2002,"Meganyctiphanes norvegica",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2019,"Nematoscelis megalops",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2012,"Thysanoessa gregaria",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2004,"Thysanoessa longicaudata",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,4.26819008663632,2003,"Thysanoessa raschii",0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L3","5","2018-02-01 10:24:59","Night",0.75,28.96,64,8.36654487080731,101,"Calanus finmarchicus",2855.78064923556,4,750,1,3,0,0,0,0,0,0,0,0,0,713.945162308891,2141.83548692667,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L3","5","2018-02-01 10:24:59","Night",0.75,28.96,64,8.36654487080731,109,"Centropages hamatus",57829.5581470201,81,750,63,18,0,0,0,0,0,0,0,0,0,44978.5452254601,12851.01292156,0,0,0,0,0,0,0,0,0,1,NA
"EN608","L3","5","2018-02-01 10:24:59","Night",0.75,28.96,64,8.36654487080731,103,"Centropages typicus",349119.184369048,489,750,218,178,93,0,0,0,0,0,0,0,0,155640.045383338,127082.238890983,66396.9000947268,0,0,0,0,0,0,0,0,1,NA
"EN608","L3","5","2018-02-01 10:24:59","Night",0.75,28.96,64,8.36654487080731,157,"Clausocalanus arcuicornis",0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
