"","Time","Var","Value","EPU"
"1",1988,"log-Seal",NA,"NE"
"2",1988,"log-Monomoy",NA,"NE"
"3",1988,"log-Muskeget",1.6094379124341,"NE"
"4",1988,"log-Green",NA,"NE"
"5",1988,"log-Nomans.Land",NA,"NE"
"6",1989,"log-Seal",NA,"NE"
"7",1989,"log-Monomoy",NA,"NE"
"8",1989,"log-Muskeget",0,"NE"
"9",1989,"log-Green",NA,"NE"
"10",1989,"log-Nomans.Land",NA,"NE"
"11",1990,"log-Seal",NA,"NE"
"12",1990,"log-Monomoy",2.19722457733622,"NE"
"13",1990,"log-Muskeget",NA,"NE"
"14",1990,"log-Green",NA,"NE"
"15",1990,"log-Nomans.Land",NA,"NE"
"16",1991,"log-Seal",NA,"NE"
"17",1991,"log-Monomoy",1.09861228866811,"NE"
"18",1991,"log-Muskeget",1.79175946922805,"NE"
"19",1991,"log-Green",NA,"NE"
"20",1991,"log-Nomans.Land",NA,"NE"
"21",1992,"log-Seal",NA,"NE"
"22",1992,"log-Monomoy",0,"NE"
"23",1992,"log-Muskeget",2.484906649788,"NE"
"24",1992,"log-Green",NA,"NE"
"25",1992,"log-Nomans.Land",NA,"NE"
"26",1993,"log-Seal",NA,"NE"
"27",1993,"log-Monomoy",NA,"NE"
"28",1993,"log-Muskeget",3.3322045101752,"NE"
"29",1993,"log-Green",NA,"NE"
"30",1993,"log-Nomans.Land",NA,"NE"
"31",1994,"log-Seal",0,"NE"
"32",1994,"log-Monomoy",0,"NE"
"33",1994,"log-Muskeget",4.04305126783455,"NE"
"34",1994,"log-Green",3.66356164612965,"NE"
"35",1994,"log-Nomans.Land",NA,"NE"
"36",1995,"log-Seal",NA,"NE"
"37",1995,"log-Monomoy",0.693147180559945,"NE"
"38",1995,"log-Muskeget",4.58496747867057,"NE"
"39",1995,"log-Green",3.87120101090789,"NE"
"40",1995,"log-Nomans.Land",NA,"NE"
"41",1996,"log-Seal",NA,"NE"
"42",1996,"log-Monomoy",1.79175946922805,"NE"
"43",1996,"log-Muskeget",5.08759633523238,"NE"
"44",1996,"log-Green",NA,"NE"
"45",1996,"log-Nomans.Land",NA,"NE"
"46",1997,"log-Seal",NA,"NE"
"47",1997,"log-Monomoy",2.30258509299405,"NE"
"48",1997,"log-Muskeget",5.35658627467201,"NE"
"49",1997,"log-Green",3.49650756146648,"NE"
"50",1997,"log-Nomans.Land",NA,"NE"
"51",1998,"log-Seal",NA,"NE"
"52",1998,"log-Monomoy",NA,"NE"
"53",1998,"log-Muskeget",5.80814248998044,"NE"
"54",1998,"log-Green",NA,"NE"
"55",1998,"log-Nomans.Land",NA,"NE"
"56",1999,"log-Seal",NA,"NE"
