Time,Var,Value,EPU
A_1998,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_1998,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_1998,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_1999,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_1999,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_1999,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2000,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2000,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2000,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2001,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2001,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2001,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2002,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2002,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2002,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2003,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2003,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2003,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2004,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2004,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2004,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2005,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2005,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2005,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2006,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2006,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2006,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
