"","Time","Var","Value","EPU","Units"
"1","A_1998","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"2","A_1998","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"3","A_1998","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"4","A_1999","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"5","A_1999","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"6","A_1999","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"7","A_2000","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"8","A_2000","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"9","A_2000","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"10","A_2001","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"11","A_2001","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"12","A_2001","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"13","A_2002","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"14","A_2002","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"15","A_2002","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"16","A_2003","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"17","A_2003","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"18","A_2003","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"19","A_2004","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"20","A_2004","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"21","A_2004","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"22","A_2005","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"23","A_2005","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"24","A_2005","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"25","A_2006","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"26","A_2006","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"27","A_2006","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"28","A_2007","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"29","A_2007","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"30","A_2007","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"31","A_2008","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"32","A_2008","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"33","A_2008","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"34","A_2009","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"35","A_2009","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"36","A_2009","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"37","A_2010","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"38","A_2010","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"39","A_2010","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"40","A_2011","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"41","A_2011","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"42","A_2011","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"43","A_2012","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"44","A_2012","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"45","A_2012","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"46","A_2013","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"47","A_2013","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"48","A_2013","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"49","A_2014","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"50","A_2014","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"51","A_2014","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"52","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"53","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"54","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"55","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"56","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"57","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"58","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"59","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"60","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"61","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"62","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"63","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"64","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"65","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"66","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"67","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"68","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"69","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"70","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"71","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"72","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"73","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"74","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"75","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"76","W_199801","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.002767766,"GOM",NA
