"","Time","Var","Value","EPU","Units"
"1",1990,"Lower95",260,"All","n"
"2",1990,"Median",264,"All","n"
"3",1990,"Upper95",271,"All","n"
"4",1990,"Calves",12,"All","n"
"5",1991,"Lower95",266,"All","n"
"6",1991,"Median",271,"All","n"
"7",1991,"Upper95",277,"All","n"
"8",1991,"Calves",17,"All","n"
"9",1992,"Lower95",277,"All","n"
"10",1992,"Median",281,"All","n"
"11",1992,"Upper95",287,"All","n"
"12",1992,"Calves",12,"All","n"
"13",1993,"Lower95",273,"All","n"
"14",1993,"Median",276,"All","n"
"15",1993,"Upper95",281,"All","n"
"16",1993,"Calves",6,"All","n"
"17",1994,"Lower95",284,"All","n"
"18",1994,"Median",286,"All","n"
"19",1994,"Upper95",290,"All","n"
"20",1994,"Calves",9,"All","n"
"21",1995,"Lower95",290,"All","n"
"22",1995,"Median",292,"All","n"
"23",1995,"Upper95",295,"All","n"
"24",1995,"Calves",7,"All","n"
"25",1996,"Lower95",300,"All","n"
"26",1996,"Median",303,"All","n"
"27",1996,"Upper95",307,"All","n"
"28",1996,"Calves",21,"All","n"
"29",1997,"Lower95",311,"All","n"
"30",1997,"Median",313,"All","n"
"31",1997,"Upper95",317,"All","n"
"32",1997,"Calves",19,"All","n"
"33",1998,"Lower95",310,"All","n"
"34",1998,"Median",313,"All","n"
"35",1998,"Upper95",316,"All","n"
"36",1998,"Calves",5,"All","n"
"37",1999,"Lower95",309,"All","n"
"38",1999,"Median",311,"All","n"
"39",1999,"Upper95",315,"All","n"
"40",1999,"Calves",4,"All","n"
"41",2000,"Lower95",307,"All","n"
"42",2000,"Median",308,"All","n"
"43",2000,"Upper95",311,"All","n"
"44",2000,"Calves",1,"All","n"
"45",2001,"Lower95",331,"All","n"
"46",2001,"Median",332,"All","n"
"47",2001,"Upper95",334,"All","n"
"48",2001,"Calves",31,"All","n"
"49",2002,"Lower95",344,"All","n"
"50",2002,"Median",345,"All","n"
"51",2002,"Upper95",347,"All","n"
"52",2002,"Calves",21,"All","n"
"53",2003,"Lower95",358,"All","n"
"54",2003,"Median",359,"All","n"
"55",2003,"Upper95",362,"All","n"
"56",2003,"Calves",19,"All","n"
"57",2004,"Lower95",366,"All","n"
"58",2004,"Median",367,"All","n"
"59",2004,"Upper95",370,"All","n"
"60",2004,"Calves",16,"All","n"
"61",2005,"Lower95",390,"All","n"
"62",2005,"Median",391,"All","n"
"63",2005,"Upper95",394,"All","n"
"64",2005,"Calves",28,"All","n"
"65",2006,"Lower95",400,"All","n"
"66",2006,"Median",402,"All","n"
"67",2006,"Upper95",405,"All","n"
"68",2006,"Calves",19,"All","n"
"69",2007,"Lower95",411,"All","n"
"70",2007,"Median",412,"All","n"
"71",2007,"Upper95",414,"All","n"
"72",2007,"Calves",23,"All","n"
"73",2008,"Lower95",430,"All","n"
"74",2008,"Median",431,"All","n"
"75",2008,"Upper95",434,"All","n"
"76",2008,"Calves",23,"All","n"
"77",2009,"Lower95",460,"All","n"
"78",2009,"Median",461,"All","n"
"79",2009,"Upper95",464,"All","n"
"80",2009,"Calves",39,"All","n"
"81",2010,"Lower95",473,"All","n"
"82",2010,"Median",476,"All","n"
"83",2010,"Upper95",479,"All","n"
"84",2010,"Calves",19,"All","n"
"85",2011,"Lower95",478,"All","n"
"86",2011,"Median",481,"All","n"
"87",2011,"Upper95",485,"All","n"
"88",2011,"Calves",22,"All","n"
"89",2012,"Lower95",468,"All","n"
"90",2012,"Median",473,"All","n"
"91",2012,"Upper95",478,"All","n"
"92",2012,"Calves",7,"All","n"
"93",2013,"Lower95",473,"All","n"
"94",2013,"Median",478,"All","n"
"95",2013,"Upper95",485,"All","n"
"96",2013,"Calves",20,"All","n"
"97",2014,"Lower95",468,"All","n"
"98",2014,"Median",474,"All","n"
"99",2014,"Upper95",481,"All","n"
"100",2014,"Calves",11,"All","n"
"101",2015,"Lower95",461,"All","n"
"102",2015,"Median",470,"All","n"
"103",2015,"Upper95",479,"All","n"
"104",2015,"Calves",17,"All","n"
"105",2016,"Lower95",447,"All","n"
"106",2016,"Median",453,"All","n"
"107",2016,"Upper95",461,"All","n"
"108",2016,"Calves",14,"All","n"
"109",2017,"Lower95",426,"All","n"
"110",2017,"Median",430,"All","n"
"111",2017,"Upper95",436,"All","n"
"112",2017,"Calves",5,"All","n"
"113",2018,"Lower95",385,"All","n"
"114",2018,"Median",388,"All","n"
"115",2018,"Upper95",392,"All","n"
"116",2018,"Calves",0,"All","n"
"117",2019,"Lower95",371,"All","n"
"118",2019,"Median",374,"All","n"
"119",2019,"Upper95",377,"All","n"
"120",2019,"Calves",7,"All","n"
"121",2020,"Lower95",344,"All","n"
"122",2020,"Median",348,"All","n"
"123",2020,"Upper95",354,"All","n"
"124",2020,"Calves",10,"All","n"
"125",2021,"Lower95",333,"All","n"
"126",2021,"Median",340,"All","n"
"127",2021,"Upper95",348,"All","n"
"128",2021,"Calves",18,"All","n"
"129",2022,"Calves",20,"All","n"
